Modelo,Versão,Porttinari-base Test Acc,DANTE Test Acc,PetroGold Test Acc
Porttinari-base,model-1o0gqxr3-v0,"0,9904912364","0,8771985725","0,965403018"
Porttinari-base,model-2bw1espl-v0,"0,9903720043","0,8703160846","0,9644828855"
Porttinari-base,model-2s49nst7-v0,"0,990163348","0,868021922","0,9647589253"
Porttinari-base,model-3rjlz0lt-v0,"0,990968165","0,8706347183","0,9644828855"
Porttinari-base,model-9ntjk1ug-v0,"0,9907595088","0,8716543462","0,9633787265"
Porttinari-base,model-31361v0k-v0,"0,9911172052","0,8801937293","0,9659550975"
Porttinari-base,model-bm6gp43m-v0,"0,9906104686","0,8740759623","0,9642068458"
Porttinari-base,model-kymqot4e-v0,"0,990938357","0,8701249044","0,9662311373"
Porttinari-base,model-tc1zzw4k-v0,"0,9906402766","0,8580805506","0,9607103423"
Porttinari-base,model-v70g08fj-v0,"0,9910277811","0,8735024216","0,9664151638"
DANTE,model-1b7kowrx-v0,"0,9690592584","0,981136885","0,9526131763"
DANTE,model-2akpbr05-v0,"0,9682544414","0,9793525363","0,9504048583"
DANTE,model-2l1q1co8-v0,"0,9669428878","0,9795437165","0,9480125138"
DANTE,model-2vl5c8as-v0,"0,9669726958","0,9810731583","0,9529812293"
DANTE,model-19fciu72-v0,"0,9651245976","0,9801809839","0,9476444608"
DANTE,model-66omv4vd-v0,"0,9632764993","0,9792888096","0,9472764078"
DANTE,model-hfcre0cn-v0,"0,9629486109","0,9792888096","0,9486566066"
DANTE,model-o0ojeh3x-v0,"0,9625611065","0,9793525363","0,9494847258"
DANTE,model-sm3hnlkk-v0,"0,964677477","0,9790339026","0,9487486198"
DANTE,model-tv4yte30-v0,"0,9650947896","0,9801809839","0,9495767391"
PetroGold,model-1hbxjamt-v0,"0,9705198522","0,8473744583","0,9892344498"
PetroGold,model-1q90myqb-v0,"0,9712650531","0,8544481264","0,9899705558"
PetroGold,model-1yl1sxe4-v0,"0,9689996423","0,8508157023","0,9891424365"
PetroGold,model-2gzdimee-v0,"0,969565995","0,8481391792","0,9894184763"
PetroGold,model-2k0a4cta-v0,"0,97040062","0,8517078766","0,98895841"
PetroGold,model-2v9qux4u-v0,"0,96873137","0,8467371909","0,9903386088"
PetroGold,model-2w6nmfoo-v0,"0,9688506021","0,8502421616","0,9886823703"
PetroGold,model-19jxdvv7-v0,"0,9710862048","0,8483940862","0,9892344498"
PetroGold,model-23r6lkqz-v0,"0,9686717539","0,8575070099","0,9895104895"
PetroGold,model-97qzwo1n-v0,"0,9707583164","0,8405556972","0,9888663968"
Porttinari-base DANTE,model-1nw1r5gm-v0,"0,9900739239","0,9778230946","0,96687523"
Porttinari-base DANTE,model-1vj1vfst-v0,"0,9898652677","0,9783329085","0,9632867133"
Porttinari-base DANTE,model-2t876ez4-v0,"0,9903720043","0,9804358909","0,9649429518"
Porttinari-base DANTE,model-2u66l64n-v0,"0,9909085489","0,9788427224","0,9663231505"
Porttinari-base DANTE,model-3ftgmuns-v0,"0,9905806605","0,979926077","0,969083548"
Porttinari-base DANTE,model-3ipj5wvo-v0,"0,9903123882","0,9792250828","0,9644828855"
Porttinari-base DANTE,model-3s1i1gig-v0,"0,9909085489","0,9795437165","0,964666912"
Porttinari-base DANTE,model-13sziv1x-v0,"0,9907297007","0,9802447107","0,966139124"
Porttinari-base DANTE,model-26vtwt5o-v0,"0,9907595088","0,97967117","0,9666912035"
Porttinari-base DANTE,model-16140tgi-v0,"0,9904316204","0,9773132807","0,9656790578"
Porttinari-base PetroGold,model-1jmh5yzi-v0,"0,9890604507","0,8515804231","0,9870261318"
Porttinari-base PetroGold,model-1m7fe4k1-v0,"0,9897758436","0,854320673","0,9887743835"
Porttinari-base PetroGold,model-3t2o4ugz-v0,"0,9877488971","0,8559138414","0,988222304"
Porttinari-base PetroGold,model-3ub7r5rd-v0,"0,9895373793","0,8472470048","0,98895841"
Porttinari-base PetroGold,model-25j07376-v0,"0,9898652677","0,854065766","0,9884983438"
Porttinari-base PetroGold,model-29r6wb4o-v0,"0,9897460355","0,8526637777","0,9887743835"
Porttinari-base PetroGold,model-37a43ty6-v0,"0,9896566114","0,8578893704","0,9884063305"
Porttinari-base PetroGold,model-39kwlzfy-v0,"0,9897460355","0,850879429","0,989694516"
Porttinari-base PetroGold,model-cbw7mob2-v0,"0,9898354596","0,8486489931","0,988590357"
Porttinari-base PetroGold,model-vzsfwq56-v0,"0,9895969953","0,8562324751","0,987854251"
DANTE PetroGold,model-1vwxg7v2-v0,"0,9780016693","0,9780780015","0,9892344498"
DANTE PetroGold,model-2kyu5jev-v0,"0,9784487898","0,97967117","0,9884983438"
DANTE PetroGold,model-3evjf8e7-v0,"0,9789555264","0,9806270711","0,989694516"
DANTE PetroGold,model-3h6mbbp2-v0,"0,9793132228","0,9804358909","0,9899705558"
DANTE PetroGold,model-3lesa1b2-v0,"0,97859783","0,9794162631","0,9886823703"
